"Date";"Store";"Category";"Brand";"Sales_Amount";"Units_Sold";"Customer_Age"
2023-03-28;"Store 5";"Clothing";"Zara";136,41;4;34
2023-04-22;"Store 5";"Furniture";"West Elm";736,36;2;25
2023-10-18;"Store 4";"Electronics";"Sony";707,35;1;10
2023-12-09;"Store 7";"Electronics";"Samsung";829,64;2;15
2023-07-25;"Store 4";"Grocery";"Target";56,59;18;46
2023-06-26;"Store 7";"Grocery";"Costco";63,87;3;20
2023-12-27;"Store 6";"Sports";"Wilson";162,79;2;19
2023-04-25;"Store 2";"Grocery";"Walmart";98,74;3;57
2023-10-14;"Store 5";"Sports";"Reebok";321,52;5;51
2023-10-13;"Store 3";"Grocery";"Trader Joe's";40,9;10;36
2023-01-28;"Store 9";"Grocery";"Whole Foods";47,01;6;36
2023-07-27;"Store 6";"Toys";"LEGO";140,61;3;55
2023-06-30;"Store 7";"Grocery";"Walmart";106,46;9;36
2023-01-22;"Store 2";"Clothing";"Puma";117,66;5;27
2023-02-24;"Store 10";"Clothing";"Nike";341,07;10;10
2023-01-29;"Store 8";"Clothing";"Zara";180,79;10;46
2023-06-09;"Store 10";"Grocery";"Costco";35,46;19;37
2023-07-15;"Store 2";"Clothing";"H&M";388,95;9;27
2023-11-14;"Store 9";"Furniture";"West Elm";906,65;1;18
2023-07-23;"Store 10";"Clothing";"Nike";269,52;4;31
2023-01-14;"Store 2";"Electronics";"Sony";880,37;3;33
2023-09-03;"Store 6";"Electronics";"LG";721,42;3;45
2023-11-06;"Store 2";"Sports";"Wilson";128,58;2;46
2023-04-19;"Store 8";"Clothing";"Zara";329,01;2;41
2023-01-14;"Store 3";"Grocery";"Walmart";34,6;2;46
2023-10-01;"Store 3";"Electronics";"Sony";876,81;1;51
2023-01-10;"Store 2";"Grocery";"Walmart";64,14;1;17
2023-10-13;"Store 9";"Grocery";"Costco";68,82;20;28
2023-04-24;"Store 10";"Furniture";"Ashley";1082,94;2;29
2023-12-11;"Store 1";"Toys";"LEGO";139,75;8;50
2023-12-02;"Store 9";"Grocery";"Target";60,13;13;18
2023-09-26;"Store 3";"Clothing";"H&M";237,06;6;49
2023-06-03;"Store 8";"Furniture";"Ashley";787,22;1;35
2023-04-27;"Store 8";"Clothing";"Puma";304,97;10;40
2023-08-06;"Store 8";"Clothing";"Nike";271,2;9;34
2023-06-01;"Store 4";"Sports";"Under Armour";361,06;8;34
2023-12-17;"Store 2";"Grocery";"Walmart";31,17;5;29
2023-06-18;"Store 2";"Grocery";"Walmart";41,19;20;35
2023-06-09;"Store 9";"Grocery";"Whole Foods";33,5;11;21
2023-10-10;"Store 8";"Clothing";"H&M";512,39;9;32
2023-05-05;"Store 10";"Furniture";"Wayfair";758,62;1;44
2023-09-15;"Store 1";"Grocery";"Walmart";74,72;4;30
2023-11-22;"Store 7";"Grocery";"Trader Joe's";72,19;1;21
2023-02-26;"Store 3";"Grocery";"Costco";47;20;42
2023-09-05;"Store 1";"Sports";"Wilson";164,52;5;34
2023-06-22;"Store 10";"Sports";"Reebok";235,53;4;46
2023-04-21;"Store 9";"Electronics";"Sony";1124,59;2;35
2023-01-18;"Store 8";"Sports";"Reebok";10;8;56
2023-11-27;"Store 1";"Toys";"Fisher-Price";278,48;7;41
2023-05-08;"Store 2";"Clothing";"Nike";260,84;3;42
2023-01-07;"Store 2";"Sports";"Under Armour";159,06;1;26
2023-01-14;"Store 7";"Toys";"Mattel";221,23;7;32
2023-02-25;"Store 3";"Toys";"Mattel";232,04;1;56
2023-12-24;"Store 2";"Furniture";"IKEA";959,13;1;58
2023-06-11;"Store 7";"Clothing";"H&M";362,86;2;34
2023-10-31;"Store 8";"Grocery";"Target";81,96;8;13
2023-07-29;"Store 4";"Clothing";"Zara";333,39;7;51
2023-11-14;"Store 3";"Grocery";"Walmart";64,35;3;63
2023-10-07;"Store 5";"Grocery";"Whole Foods";59,06;1;47
2023-10-24;"Store 7";"Electronics";"LG";584,84;1;23
2023-01-01;"Store 3";"Grocery";"Whole Foods";46,05;15;20
2023-11-16;"Store 9";"Grocery";"Trader Joe's";56,08;20;47
2023-06-11;"Store 2";"Grocery";"Target";36,45;2;51
2023-08-30;"Store 9";"Grocery";"Target";63,49;2;51
2023-04-03;"Store 5";"Toys";"LEGO";224,53;1;49
2023-12-12;"Store 10";"Electronics";"LG";869,49;1;38
2023-06-15;"Store 2";"Clothing";"Nike";369,78;1;46
2023-05-25;"Store 6";"Clothing";"Zara";362,36;5;32
2023-12-20;"Store 4";"Grocery";"Walmart";28,37;18;48
2023-09-15;"Store 9";"Grocery";"Walmart";58,73;14;32
2023-12-24;"Store 9";"Clothing";"H&M";372,72;10;40
2023-04-06;"Store 7";"Clothing";"H&M";276,78;9;30
2023-09-27;"Store 6";"Grocery";"Costco";66,03;8;39
2023-09-08;"Store 7";"Clothing";"Zara";341,07;1;18
2023-09-07;"Store 8";"Grocery";"Target";22,54;13;33
2023-07-04;"Store 6";"Clothing";"Zara";337,98;9;46
2023-04-10;"Store 6";"Clothing";"H&M";376,38;3;51
2023-10-03;"Store 6";"Sports";"Under Armour";307,86;8;14
2023-11-29;"Store 3";"Clothing";"Nike";225,03;1;29
2023-10-30;"Store 8";"Clothing";"Adidas";297,24;3;31
2023-06-20;"Store 4";"Clothing";"H&M";170,14;5;25
2023-02-08;"Store 5";"Toys";"LEGO";219,12;3;13
2023-08-08;"Store 3";"Grocery";"Target";60,13;9;34
2023-11-11;"Store 9";"Clothing";"Zara";250,52;6;31
2023-10-05;"Store 7";"Grocery";"Whole Foods";39,68;5;33
2023-10-27;"Store 6";"Sports";"Wilson";177,09;4;38
2023-07-04;"Store 10";"Grocery";"Walmart";61,96;6;37
2023-08-15;"Store 8";"Electronics";"Samsung";177,25;2;33
2023-03-22;"Store 8";"Toys";"Fisher-Price";258,7;5;39
2023-11-22;"Store 6";"Sports";"Spalding";228,3;8;37
2023-06-11;"Store 1";"Sports";"Wilson";195,25;6;12
2023-03-02;"Store 4";"Clothing";"Puma";315,02;7;29
2023-09-12;"Store 1";"Clothing";"Zara";564,57;8;48
2023-06-15;"Store 5";"Electronics";"Panasonic";681,35;1;28
2023-03-19;"Store 10";"Clothing";"Nike";125,05;3;7
2023-05-16;"Store 10";"Toys";"Hasbro";80,65;4;38
2023-02-04;"Store 10";"Grocery";"Whole Foods";58,86;4;22
2023-06-17;"Store 7";"Sports";"Spalding";213,17;4;58
2023-03-13;"Store 4";"Grocery";"Target";39,56;8;21
2023-05-14;"Store 7";"Clothing";"Puma";357,75;2;37
2023-06-03;"Store 5";"Clothing";"Puma";253;3;9
2023-06-29;"Store 9";"Grocery";"Target";57,92;2;21
2023-01-04;"Store 9";"Clothing";"H&M";368,04;3;38
2023-01-11;"Store 8";"Electronics";"LG";866,5;2;34
2023-05-28;"Store 10";"Electronics";"Apple";646,32;3;32
2023-06-01;"Store 10";"Grocery";"Costco";45,16;8;37
2023-12-09;"Store 5";"Grocery";"Target";88,99;12;37
2023-05-02;"Store 6";"Furniture";"West Elm";597,11;1;37
2023-01-04;"Store 3";"Sports";"Under Armour";354,76;7;62
2023-08-29;"Store 1";"Electronics";"Panasonic";818,81;2;40
2023-05-12;"Store 6";"Clothing";"Puma";339,39;8;59
2023-11-16;"Store 1";"Clothing";"Adidas";384,32;3;33
2023-12-21;"Store 10";"Sports";"Wilson";214,15;7;15
2023-01-15;"Store 1";"Grocery";"Whole Foods";51,88;11;28
2023-12-02;"Store 5";"Clothing";"Puma";423,81;5;44
2023-12-04;"Store 10";"Grocery";"Trader Joe's";29,35;4;44
2023-09-01;"Store 4";"Furniture";"Wayfair";1051,6;1;7
2023-01-11;"Store 6";"Sports";"Under Armour";310,41;2;37
2023-02-26;"Store 2";"Clothing";"Nike";421,3;9;34
2023-06-10;"Store 3";"Clothing";"Puma";415,74;2;22
2023-05-21;"Store 7";"Electronics";"Samsung";1585,09;3;43
2023-01-01;"Store 5";"Clothing";"Zara";230,04;3;45
2023-07-10;"Store 10";"Grocery";"Walmart";91,11;6;29
2023-04-26;"Store 7";"Grocery";"Target";55,79;12;30
2023-03-05;"Store 3";"Grocery";"Walmart";36,3;11;29
2023-09-07;"Store 10";"Clothing";"Zara";248,05;6;35
2023-10-18;"Store 7";"Grocery";"Trader Joe's";25,99;19;17
2023-01-20;"Store 3";"Grocery";"Costco";72,64;6;17
2023-11-28;"Store 10";"Sports";"Under Armour";307,1;6;23
2023-12-02;"Store 7";"Grocery";"Target";82,44;14;29
2023-12-09;"Store 2";"Sports";"Wilson";362,86;4;28
2023-03-09;"Store 2";"Clothing";"Nike";289,26;3;28
2023-03-24;"Store 1";"Clothing";"Zara";390,42;5;28
2023-11-15;"Store 1";"Toys";"Fisher-Price";182,18;8;20
2023-10-18;"Store 10";"Electronics";"Samsung";720,12;3;9
2023-02-03;"Store 10";"Grocery";"Costco";44,21;13;40
2023-12-06;"Store 3";"Furniture";"Ashley";461,98;2;23
2023-06-03;"Store 4";"Toys";"Fisher-Price";214,13;6;42
2023-06-19;"Store 7";"Sports";"Reebok";124,93;3;29
2023-11-09;"Store 2";"Grocery";"Trader Joe's";61,2;9;51
2023-01-05;"Store 3";"Clothing";"H&M";292,56;8;11
2023-01-22;"Store 1";"Clothing";"Adidas";425,14;6;8
2023-01-04;"Store 10";"Clothing";"Adidas";352,39;1;29
2023-12-18;"Store 6";"Sports";"Under Armour";115,7;7;49
2023-05-11;"Store 7";"Electronics";"Sony";816,1;1;44
2023-08-19;"Store 3";"Sports";"Spalding";53,14;3;41
2023-03-20;"Store 9";"Clothing";"Zara";169,56;4;27
2023-08-05;"Store 8";"Clothing";"Adidas";397,85;7;20
2023-03-29;"Store 1";"Grocery";"Walmart";76,25;19;13
2023-09-03;"Store 8";"Grocery";"Target";45,57;12;46
2023-08-14;"Store 8";"Clothing";"Puma";260,25;1;39
2023-06-20;"Store 10";"Grocery";"Trader Joe's";47,68;7;39
2023-02-09;"Store 7";"Toys";"Fisher-Price";208,85;7;23
2023-09-01;"Store 3";"Grocery";"Whole Foods";85,35;15;36
2023-02-03;"Store 5";"Toys";"Hasbro";112,25;7;39
2023-11-02;"Store 4";"Clothing";"Nike";505,69;1;28
2023-05-27;"Store 3";"Sports";"Wilson";285,07;1;39
2023-02-15;"Store 7";"Grocery";"Trader Joe's";47,03;3;23
2023-06-19;"Store 4";"Sports";"Wilson";78,11;1;51
2023-01-03;"Store 9";"Grocery";"Whole Foods";63,93;16;16
2023-05-10;"Store 7";"Toys";"Fisher-Price";276,49;6;26
2023-02-07;"Store 5";"Clothing";"Nike";384,17;7;17
2023-06-30;"Store 10";"Furniture";"Ashley";854,65;1;24
2023-11-27;"Store 3";"Furniture";"West Elm";527,47;2;36
2023-05-07;"Store 3";"Toys";"Mattel";115,12;1;50
2023-07-23;"Store 1";"Grocery";"Walmart";85,67;14;45
2023-01-30;"Store 10";"Grocery";"Costco";57,17;14;51
2023-09-26;"Store 1";"Clothing";"Adidas";190,34;1;32
2023-03-16;"Store 8";"Grocery";"Trader Joe's";80,31;16;59
2023-11-29;"Store 5";"Clothing";"H&M";146,66;2;29
2023-08-01;"Store 7";"Toys";"LEGO";243,93;3;42
2023-09-23;"Store 1";"Grocery";"Whole Foods";15,3;17;51
2023-05-24;"Store 9";"Clothing";"Zara";289,34;8;36
2023-08-25;"Store 9";"Clothing";"Nike";161,15;4;45
2023-06-30;"Store 3";"Electronics";"Samsung";826,97;1;38
2023-02-26;"Store 4";"Electronics";"Panasonic";732,69;1;44
2023-01-07;"Store 7";"Electronics";"Panasonic";440,99;2;31
2023-06-12;"Store 1";"Sports";"Under Armour";246,42;6;36
2023-04-04;"Store 2";"Furniture";"IKEA";1085,99;2;45
2023-03-21;"Store 5";"Clothing";"Puma";138,85;2;37
2023-03-15;"Store 6";"Clothing";"Adidas";245,8;6;35
2023-12-03;"Store 10";"Grocery";"Walmart";36,43;2;43
2023-03-06;"Store 2";"Grocery";"Trader Joe's";70,4;17;32
2023-08-16;"Store 5";"Grocery";"Trader Joe's";46,08;20;25
2023-03-01;"Store 10";"Clothing";"H&M";141,38;6;31
2023-03-01;"Store 1";"Electronics";"Sony";670,63;1;22
2023-06-02;"Store 6";"Grocery";"Costco";27;8;54
2023-05-10;"Store 2";"Grocery";"Target";41,47;14;33
2023-10-20;"Store 7";"Grocery";"Whole Foods";37,07;2;18
2023-11-21;"Store 1";"Toys";"Nintendo";134,96;1;43
2023-04-25;"Store 8";"Toys";"Mattel";156,74;2;35
2023-09-03;"Store 1";"Furniture";"Wayfair";547,51;1;41
2023-08-26;"Store 5";"Clothing";"H&M";183,75;4;30
2023-03-12;"Store 9";"Grocery";"Target";51,98;18;31
2023-02-03;"Store 7";"Sports";"Decathlon";159,77;7;21
2023-07-09;"Store 7";"Toys";"Nintendo";224,66;6;14
2023-08-26;"Store 5";"Grocery";"Costco";41,39;1;18
2023-10-19;"Store 2";"Clothing";"Nike";331,64;10;60
2023-12-30;"Store 2";"Grocery";"Trader Joe's";42,95;3;36
2023-02-17;"Store 3";"Grocery";"Trader Joe's";48,36;3;2
2023-07-07;"Store 1";"Clothing";"H&M";391,43;5;48
2023-04-07;"Store 10";"Grocery";"Walmart";75,21;5;40
2023-08-09;"Store 8";"Grocery";"Whole Foods";84,66;19;33
2023-01-20;"Store 5";"Grocery";"Whole Foods";39,12;19;27
2023-12-08;"Store 2";"Sports";"Decathlon";181,27;4;21
2023-01-15;"Store 8";"Grocery";"Trader Joe's";56,51;9;43
2023-09-24;"Store 5";"Grocery";"Trader Joe's";52,94;2;36
2023-11-02;"Store 7";"Grocery";"Costco";48,8;14;19
2023-03-08;"Store 9";"Electronics";"Panasonic";907,68;2;24
2023-05-05;"Store 7";"Toys";"LEGO";279,65;4;31
2023-01-24;"Store 10";"Toys";"Hasbro";287,02;6;52
2023-11-20;"Store 1";"Furniture";"West Elm";464,43;1;29
2023-10-16;"Store 6";"Grocery";"Target";79,23;9;37
2023-06-26;"Store 5";"Grocery";"Whole Foods";70,84;9;46
2023-04-22;"Store 9";"Toys";"Hasbro";273,43;7;29
2023-11-05;"Store 6";"Toys";"Hasbro";208,05;7;54
2023-04-05;"Store 7";"Grocery";"Walmart";12,28;8;25
2023-07-06;"Store 8";"Toys";"Nintendo";77,21;4;33
2023-03-11;"Store 1";"Toys";"Nintendo";262,14;5;42
2023-06-16;"Store 6";"Sports";"Under Armour";164,64;6;31
2023-11-15;"Store 1";"Clothing";"H&M";435,31;10;48
2023-11-12;"Store 1";"Grocery";"Whole Foods";56,82;11;45
2023-11-06;"Store 9";"Grocery";"Trader Joe's";31,58;5;15
2023-05-29;"Store 8";"Clothing";"H&M";295,62;10;13
2023-03-30;"Store 5";"Clothing";"Zara";226,35;7;50
2023-12-06;"Store 8";"Clothing";"Puma";323,99;10;23
2023-08-26;"Store 8";"Clothing";"Nike";172,91;5;31
2023-09-18;"Store 3";"Sports";"Reebok";245,6;8;14
2023-04-05;"Store 8";"Grocery";"Trader Joe's";52,66;18;42
2023-02-17;"Store 2";"Clothing";"Nike";394,6;7;36
2023-01-10;"Store 9";"Toys";"LEGO";350,37;3;33
2023-09-28;"Store 4";"Toys";"Fisher-Price";167,64;7;49
2023-09-05;"Store 10";"Grocery";"Target";69,05;20;21
2023-08-09;"Store 5";"Clothing";"Nike";356,68;3;29
2023-02-20;"Store 10";"Electronics";"LG";296,22;1;28
2023-01-21;"Store 8";"Electronics";"LG";432,9;2;21
2023-01-04;"Store 7";"Grocery";"Target";45,5;18;16
2023-02-16;"Store 10";"Grocery";"Costco";44,09;17;36
2023-04-27;"Store 9";"Sports";"Spalding";237,47;6;37
2023-12-17;"Store 7";"Grocery";"Trader Joe's";51,94;16;21
2023-11-11;"Store 9";"Grocery";"Whole Foods";58,42;12;18
2023-09-22;"Store 5";"Furniture";"West Elm";840,53;1;28
2023-02-22;"Store 3";"Grocery";"Trader Joe's";72,66;2;23
2023-04-07;"Store 8";"Grocery";"Trader Joe's";48,61;17;34
2023-12-13;"Store 9";"Electronics";"Panasonic";550,85;2;38
2023-01-08;"Store 10";"Sports";"Under Armour";180,05;5;23
2023-02-04;"Store 2";"Grocery";"Walmart";38,48;11;54
2023-01-28;"Store 7";"Toys";"Nintendo";110;5;39
2023-12-04;"Store 10";"Toys";"Nintendo";175,61;6;34
2023-04-06;"Store 3";"Grocery";"Target";53,45;7;57
2023-04-25;"Store 7";"Clothing";"Nike";330,53;7;41
2023-06-14;"Store 7";"Sports";"Spalding";240,76;8;37
2023-08-12;"Store 6";"Sports";"Reebok";348,76;6;40
2023-04-14;"Store 5";"Sports";"Wilson";354,24;3;37
2023-01-16;"Store 4";"Furniture";"Ashley";869,48;1;26
2023-01-30;"Store 9";"Clothing";"Adidas";424,94;4;55
2023-08-25;"Store 9";"Grocery";"Whole Foods";35,49;16;38
2023-10-08;"Store 3";"Clothing";"Zara";107,64;6;34
2023-09-02;"Store 5";"Grocery";"Trader Joe's";82,42;17;21
2023-08-28;"Store 10";"Clothing";"H&M";225,5;1;49
2023-01-19;"Store 4";"Clothing";"Zara";293,73;6;10
2023-12-25;"Store 8";"Furniture";"West Elm";530,15;2;3
2023-10-07;"Store 8";"Clothing";"H&M";362,6;5;28
2023-08-18;"Store 7";"Grocery";"Whole Foods";44,65;3;25
2023-02-26;"Store 3";"Sports";"Spalding";208,43;3;23
2023-01-19;"Store 10";"Grocery";"Whole Foods";45,29;5;30
2023-11-02;"Store 1";"Furniture";"IKEA";445,85;2;19
2023-01-14;"Store 2";"Clothing";"Puma";238,3;3;34
2023-06-27;"Store 9";"Grocery";"Trader Joe's";101,53;10;25
2023-08-27;"Store 9";"Sports";"Reebok";229,51;8;36
2023-05-20;"Store 5";"Furniture";"IKEA";576,71;1;42
2023-10-30;"Store 3";"Sports";"Under Armour";184,95;3;33
2023-05-01;"Store 5";"Clothing";"Puma";327,49;5;38
2023-10-27;"Store 1";"Grocery";"Costco";56,63;12;50
2023-08-24;"Store 10";"Toys";"Hasbro";239,54;8;42
2023-05-10;"Store 6";"Grocery";"Whole Foods";27,45;17;39
2023-12-29;"Store 3";"Grocery";"Costco";71,34;20;41
2023-03-24;"Store 5";"Electronics";"LG";736,14;2;42
2023-04-20;"Store 1";"Grocery";"Trader Joe's";56,27;6;29
2023-09-08;"Store 1";"Clothing";"Adidas";282,55;2;43
2023-01-29;"Store 1";"Toys";"Fisher-Price";146,62;3;40
2023-12-10;"Store 9";"Grocery";"Whole Foods";66,32;1;54
2023-12-07;"Store 10";"Grocery";"Costco";53,81;10;19
2023-08-21;"Store 2";"Clothing";"H&M";401,55;9;35
2023-07-30;"Store 2";"Clothing";"Adidas";256,95;4;29
2023-09-13;"Store 8";"Clothing";"Nike";321,24;9;41
2023-03-22;"Store 1";"Grocery";"Whole Foods";50,81;16;28
2023-05-19;"Store 4";"Electronics";"Panasonic";896,16;1;37
2023-02-01;"Store 8";"Clothing";"Adidas";334,04;2;32
2023-04-14;"Store 3";"Clothing";"Puma";373,16;2;22
2023-03-20;"Store 3";"Furniture";"Ashley";832,87;1;20
2023-03-20;"Store 9";"Toys";"Fisher-Price";166,83;3;4
2023-03-13;"Store 2";"Grocery";"Target";10;12;43
2023-06-03;"Store 7";"Grocery";"Target";56,82;19;41
2023-04-23;"Store 9";"Furniture";"Wayfair";871,61;1;15
2023-07-04;"Store 2";"Clothing";"Nike";411,29;6;41
2023-08-19;"Store 5";"Toys";"Hasbro";215,32;4;28
2023-10-01;"Store 1";"Clothing";"Nike";297,42;8;20
2023-08-30;"Store 5";"Toys";"Nintendo";189,11;2;18
2023-05-28;"Store 4";"Clothing";"H&M";248,23;4;25
2023-08-30;"Store 6";"Electronics";"LG";375,2;3;28
2023-12-08;"Store 6";"Grocery";"Trader Joe's";33,45;15;22
2023-06-23;"Store 3";"Grocery";"Walmart";62,47;19;19
2023-12-18;"Store 3";"Grocery";"Costco";59,93;10;46
2023-07-14;"Store 5";"Grocery";"Walmart";77,03;2;26
2023-01-02;"Store 3";"Furniture";"Wayfair";635,87;2;39
2023-06-08;"Store 3";"Grocery";"Costco";54,65;17;51
2023-12-30;"Store 4";"Toys";"LEGO";150,59;3;45
2023-11-04;"Store 2";"Toys";"Fisher-Price";86,25;8;25
2023-01-25;"Store 6";"Grocery";"Costco";94,96;10;30
2023-12-15;"Store 1";"Grocery";"Whole Foods";50,71;5;36
2023-10-11;"Store 1";"Grocery";"Trader Joe's";62,14;8;25
2023-09-08;"Store 7";"Grocery";"Whole Foods";60,53;12;42
2023-04-03;"Store 6";"Grocery";"Walmart";78,69;14;38
2023-05-09;"Store 8";"Furniture";"IKEA";624,53;2;29
2023-10-14;"Store 1";"Furniture";"Ashley";664,27;2;37
2023-03-30;"Store 1";"Grocery";"Walmart";45,79;18;14
2023-04-14;"Store 10";"Electronics";"Samsung";1042,66;1;35
2023-03-03;"Store 8";"Clothing";"H&M";243,74;3;28
2023-01-06;"Store 2";"Clothing";"H&M";217,31;8;35
2023-09-12;"Store 5";"Clothing";"Zara";267,77;2;24
2023-02-25;"Store 10";"Sports";"Reebok";251,42;1;41
2023-01-20;"Store 9";"Grocery";"Trader Joe's";59,8;20;18
2023-12-14;"Store 5";"Grocery";"Walmart";75,79;1;29
2023-02-19;"Store 6";"Sports";"Spalding";209,46;4;52
2023-07-21;"Store 5";"Grocery";"Trader Joe's";37,44;20;40
2023-01-05;"Store 9";"Toys";"Mattel";270,73;2;27
2023-03-18;"Store 4";"Grocery";"Whole Foods";77,63;16;32
2023-09-22;"Store 5";"Clothing";"H&M";189,66;9;44
2023-06-23;"Store 4";"Grocery";"Trader Joe's";62,48;12;38
2023-04-03;"Store 2";"Grocery";"Walmart";51,25;19;33
2023-08-12;"Store 9";"Furniture";"Ashley";1219;2;29
2023-09-04;"Store 6";"Grocery";"Walmart";27,27;5;26
2023-03-17;"Store 9";"Clothing";"Zara";10;6;21
2023-05-04;"Store 9";"Grocery";"Walmart";56,59;7;29
2023-04-04;"Store 9";"Clothing";"Zara";336,8;2;40
2023-11-26;"Store 7";"Sports";"Wilson";222,37;3;41
2023-04-15;"Store 2";"Clothing";"Zara";180,62;8;28
